llm_final_state,semantic_concept,citations,state_total,global_citations,within_state_share,other_citations,other_total,other_state_share,specificity_ratio,distinctive_score
De la Espriella,liderazgo destino modernizacion,4,5947,4,0.0006726080376660501,0,8322.0,0.0,1.6726080376660502,1.582165647084206
De la Espriella,resistencia disciplina,4,5947,4,0.0006726080376660501,0,8322.0,0.0,1.6726080376660502,1.582165647084206
De la Espriella,territorio,4,5947,4,0.0006726080376660501,0,8322.0,0.0,1.6726080376660502,1.582165647084206
De la Espriella,polarizacion,10,5947,26,0.0016815200941651253,16,8322.0,0.0019226147560682527,0.917507204327036,1.5610921952000367
De la Espriella,participacion,7,5947,15,0.0011770640659155877,8,8322.0,0.0009613073780341264,1.11000656516049,1.5527004067474421
De la Espriella,alianzas politicas,43,5947,172,0.007230536404910039,129,8322.0,0.015501081470800288,0.49878769579281795,1.531297229775401
De la Espriella,error comunicaciones redes,6,5947,12,0.0010089120564990752,6,8322.0,0.0007209805335255948,1.1673066704500283,1.5051327611026761
De la Espriella,milei ballotage,6,5947,12,0.0010089120564990752,6,8322.0,0.0007209805335255948,1.1673066704500283,1.5051327611026761
De la Espriella,participacion disciplina,6,5947,12,0.0010089120564990752,6,8322.0,0.0007209805335255948,1.1673066704500283,1.5051327611026761
De la Espriella,orden,25,5947,91,0.004203800235412813,66,8322.0,0.007930785868781542,0.582681111368174,1.4958583083478059
De la Espriella,capturas delitos electorales regiones,16,5947,52,0.0026904321506642003,36,8322.0,0.004325883201153569,0.6929239735983818,1.4915655522761213
De la Espriella,seguridad reformas estado,7,5947,16,0.0011770640659155877,9,8322.0,0.0010814708002883922,1.04592582591788,1.4885690877833246
De la Espriella,geografia regional,4,5947,5,0.0006726080376660501,1,8322.0,0.0001201634222542658,1.493182159349589,1.4703178903834433
De la Espriella,validacion internacional derecha,4,5947,5,0.0006726080376660501,1,8322.0,0.0001201634222542658,1.493182159349589,1.4703178903834433
De la Espriella,seguridad manipulacion,19,5947,67,0.003194888178913738,48,8322.0,0.005767844268204758,0.6198263453875951,1.4448984425448743
De la Espriella,medicion,24,5947,91,0.004035648225996301,67,8322.0,0.008050949291035808,0.5563668587762037,1.423883138655248
De la Espriella,riesgo democratico instituciones,16,5947,56,0.0026904321506642003,40,8322.0,0.004806536890170632,0.6355650916317097,1.3939080048866594
De la Espriella,judicializacion,9,5947,26,0.0015133680847486128,17,8322.0,0.0020427781783225185,0.8260109470530747,1.3864642594957126
De la Espriella,alegacion fraude petro,8,5947,22,0.0013452160753321001,14,8322.0,0.0016822879115597211,0.8743342074596245,1.3804140463964283
De la Espriella,confianza institucional,8,5947,22,0.0013452160753321001,14,8322.0,0.0016822879115597211,0.8743342074596245,1.3804140463964283
De la Espriella,mano dura protesta,8,5947,22,0.0013452160753321001,14,8322.0,0.0016822879115597211,0.8743342074596245,1.3804140463964283
De la Espriella,auditoria votos pdet,4,5947,6,0.0006726080376660501,2,8322.0,0.0002403268445085316,1.348522000528664,1.374115870295921
De la Espriella,economia comercio,4,5947,6,0.0006726080376660501,2,8322.0,0.0002403268445085316,1.348522000528664,1.374115870295921
De la Espriella,economia local,4,5947,6,0.0006726080376660501,2,8322.0,0.0002403268445085316,1.348522000528664,1.374115870295921
De la Espriella,consistencia fraude polarizacion,6,5947,14,0.0010089120564990752,8,8322.0,0.0009613073780341264,1.0242719111742007,1.3722754633056555
De la Espriella,supuesto cese operaciones fuerza,6,5947,14,0.0010089120564990752,8,8322.0,0.0009613073780341264,1.0242719111742007,1.3722754633056555
De la Espriella,agenda mediatica,4,5947,7,0.0006726080376660501,3,8322.0,0.0003604902667627974,1.229415658846217,1.2903499709233595
De la Espriella,competencia real,4,5947,7,0.0006726080376660501,3,8322.0,0.0003604902667627974,1.229415658846217,1.2903499709233595
De la Espriella,expectativa victoria,4,5947,7,0.0006726080376660501,3,8322.0,0.0003604902667627974,1.229415658846217,1.2903499709233595
De la Espriella,programa,18,5947,71,0.0030267361694972256,53,8322.0,0.006368661379476087,0.5464677995263676,1.2836973419931672
